t_s,count,theta_rad,omega_rad_s,vin_V
9.9656616,440813,219.818235302679,30.3032333678643,4
10.0117931,443559,221.187570767244,29.7937485768838,4
10.0585985,446433,222.620735415881,30.4742530535204,4
10.1059265,449364,224.082323998051,30.8109669394587,4
10.1534506,452247,225.519976636194,30.3483636864791,4
10.2013411,455180,226.982562549365,30.5070702453079,4
10.2473477,457907,228.342423369419,29.727416456399,4
10.2939815,460811,229.790547983074,30.8190299471121,4
10.3401062,463622,231.192296705176,30.4667823894444,4
10.3873314,466445,232.600029413284,29.9238889860231,4
10.4326399,469227,233.98731683587,30.493076334478,4
10.4781455,471963,235.351665645428,30.0740749204359,4
10.5252806,474884,236.808267572593,30.7576721904535,4
10.5720719,477743,238.233952238722,30.5198399760818,4
10.6191954,480609,239.663127563355,30.361825245194,4
10.6664712,483525,241.117236163017,30.6888223667504,4
10.7126111,486245,242.473606324567,29.6270279287526,4
10.7587977,489132,243.913253624712,30.895579718875,4
10.8069443,492019,245.352900924857,30.0723188859509,4
10.8540617,494891,246.785068242493,30.339099932699,4
10.9003943,497767,248.219230222132,30.8445372478066,4
10.9465846,500521,249.592555010701,29.9299017988396,4
10.9929227,503355,251.005773039316,30.3971388208555,4
11.039663,506258,252.45339898747,30.8704278328228,4
11.0869815,509128,253.884568974105,30.3544975001704,4
11.1337283,511949,255.291304351213,30.138798172041,4
11.1793536,514697,256.661637146779,30.0532451471937,4
11.2254803,517532,258.075353840894,30.5424895029886,4
11.2721742,520393,259.502035838024,30.5519093264017,4
11.3190985,523264,260.93370449016,30.5175073808531,4
11.3665948,526176,262.38581842782,30.5635147212581,4
11.412247,528878,263.733212610359,29.7028568457704,4
11.4590119,531782,265.181337224014,30.7435260541716,4
11.5060743,534627,266.600040573135,30.2500176940121,4
11.5531016,537532,268.04866385229,30.706757221462,4
11.600303,540369,269.463377877407,30.1003401548067,4
11.6458292,543149,270.849667968991,30.3873395465947,4
11.6930021,546061,272.30178190665,30.713630638383,4
11.7407589,548979,273.756887837313,30.5114244045118,4
11.7879493,551839,275.183071168942,30.2725208369723,4
11.8353475,554700,276.609753166073,30.1299902348856,4
11.8807814,557451,277.98158195814,30.1824099407824,4
11.9274056,560324,279.414247941277,30.6316042000569,4
11.9731004,563123,280.810012677372,30.5608562755499,4
